Nombre parada,Coordenada Y,Coordenada X,Nueva columna georreferenciada
Carrera 6B con Calle 36B Lado Norte,10.942057,-74.791518,POINT(-74.791518 10.942057)
Carrera 6B No. 38B-02 Lado Norte,10.941757,-74.793893,POINT(-74.793893 10.941757)
Carrera 6B con Calle 41 Lado Norte,10.941369,-74.796746,POINT(-74.796746 10.941369)
Calle 45 con Carrera 1 Metrocentro,10.93169,-74.799333,POINT(-74.799333 10.93169)
Tv 14 sur con calle 45,10.93025,-74.799877,POINT(-74.799877 10.93025)
Calle 45D con Carrera 1 Conj. Res. Metrocentro,10.931347,-74.800533,POINT(-74.800533 10.931347)
Carrera 1E con Calle 45H frente a Bloque 159,10.931865,-74.802072,POINT(-74.802072 10.931865)
Av. Las Torres frente Nom. 45H-42 Lado Sur,10.930277,-74.802065,POINT(-74.802065 10.930277)
Av. Las Torres con Calle 44B Lado Sur,10.929922,-74.798772,POINT(-74.798772 10.929922)
Av. Las Torres No. 41C-93 Lado Sur,10.929695,-74.796522,POINT(-74.796522 10.929695)
Av. Las Torres No. 56A-93 Lado Sur Soledad,10.929483,-74.79439,POINT(-74.79439 10.929483)
Av. Las Torres con Calle 54D Lado Sur Soledad,10.929482,-74.791593,POINT(-74.791593 10.929482)
Av. Las Torres No. 48-25 Lado Sur Soledad,10.930147,-74.78906,POINT(-74.78906 10.930147)
Av. Las Torres No. 44-33 Lado Sur Soledad,10.930925,-74.78645,POINT(-74.78645 10.930925)
Calle 30 Colegio ITIDA,10.930997,-74.780267,POINT(-74.780267 10.930997)
Carrera 30 con Calle 30 SAO Hipodromo Lado Sur,10.927345,-74.77786,POINT(-74.77786 10.927345)
Carrera 30 con Calle 29 Lado Sur Soledad,10.928045,-74.774838,POINT(-74.774838 10.928045)
Carrera 30 con Calle 27 Lado Sur Soledad,10.927622,-74.772903,POINT(-74.772903 10.927622)
Carrera 30 No. 24-151 Lado Sur Soledad,10.926817,-74.76981,POINT(-74.76981 10.926817)
Calle 24 con Carrera 31 Soledad,10.926987,-74.768267,POINT(-74.768267 10.926987)
Calle 24 con Carrera 33 Soledad,10.927953,-74.768103,POINT(-74.768103 10.927953)
Calle 24 con Carrera 34 Soledad,10.928907,-74.767977,POINT(-74.767977 10.928907)
Carrera 35 con Calle 25B esq Soledad,10.92987,-74.770465,POINT(-74.770465 10.92987)
Carrera 37 No. 25A-13 Soledad,10.931178,-74.769835,POINT(-74.769835 10.931178)
Carrera 37 con Calle 23A esq Soledad,10.931365,-74.767895,POINT(-74.767895 10.931365)
Carrera 37 con Calle 18A esq Soledad,10.931863,-74.764956,POINT(-74.764956 10.931863)
Calle 18 con Carrera 36A esq Soledad,10.931152,-74.764512,POINT(-74.764512 10.931152)
Calle 18 No. 32-59 Soledad,10.92868,-74.76435,POINT(-74.76435 10.92868)
Calle 18 con Carrera 30 Soledad,10.926713,-74.764153,POINT(-74.764153 10.926713)
Calle 18 con Carrera 27 Soledad,10.924445,-74.763768,POINT(-74.763768 10.924445)
Calle 18 No. 25A-16 Soledad,10.92153,-74.763537,POINT(-74.763537 10.92153)
Calle 18 No. 23-37 Soledad,10.919673,-74.764115,POINT(-74.764115 10.919673)
Calle 18 No. 21-37 Soledad,10.917542,-74.765113,POINT(-74.765113 10.917542)
Carrera 19 Frente Nom. 20-19 Soledad,10.916582,-74.7671,POINT(-74.7671 10.916582)
Calle 23 con Carrera 19A esq Soledad,10.917762,-74.768873,POINT(-74.768873 10.917762)
Calle 23 No. 22-36 Soledad,10.920545,-74.768107,POINT(-74.768107 10.920545)
Calle 23 No. 25-40 Soledad,10.922783,-74.767398,POINT(-74.767398 10.922783)
Carrera 26 No. 24A-32 Soledad,10.923965,-74.768765,POINT(-74.768765 10.923965)
Carrera 30 con Calle 24 Lado Norte Soledad,10.926667,-74.768853,POINT(-74.768853 10.926667)
Carrera 30 con Calle 27 esq Lado Norte Soledad,10.927552,-74.772697,POINT(-74.772697 10.927552)
Carrera 30 con Calle 29C esq Lado Norte Soledad,10.927883,-74.775767,POINT(-74.775767 10.927883)
Carrera 30 con Calle 30 SAO Hipodromo Lado Norte,10.92744,-74.77775,POINT(-74.77775 10.92744)
Calle 30 con Carrera 34A entrada al Tucan Soledad,10.930023,-74.779742,POINT(-74.779742 10.930023)
Calle 30 Colegio INEM,10.93168,-74.78023,POINT(-74.78023 10.93168)
Av. Las Torres Circunvalar Iglesia Lado Norte,10.931798,-74.784507,POINT(-74.784507 10.931798)
